CPU	 1	 0
CPU	 5	 0
CPU	 3	 0
CPU	 7	 0
CPU	 9	 0
CPU	 11	 0
CPU	 13	 0
CPU	 15	 0
CPU	 17	 0.016675
CPU	 19	 0
CPU	 21	 0
CPU	 23	 0.016675
CPU	 25	 0
CPU	 27	 0.016675
CPU	 29	 0
CPU	 31	 0
CPU	 33	 0.016675
CPU	 35	 0
CPU	 37	 0
CPU	 39	 0
CPU	 41	 0
CPU	 43	 0.016675
CPU	 45	 0.016675
CPU	 47	 0
CPU	 49	 0
CPU	 51	 0.033325
CPU	 53	 0.016675
CPU	 55	 0
CPU	 57	 0.01665
CPU	 59	 0.01665
CPU	 61	 0
CPU	 63	 0.016675
CPU	 65	 0.016675
CPU	 67	 0.016675
CPU	 69	 0.016675
CPU	 71	 0
CPU	 73	 0
CPU	 75	 0
CPU	 77	 0.01665
CPU	 79	 0.016675
CPU	 81	 0.033325
CPU	 83	 0.016675
CPU	 85	 0.016675
CPU	 87	 0.033325
CPU	 89	 0.033325
CPU	 91	 0
CPU	 93	 0.01665
CPU	 95	 0.033325
CPU	 97	 0.016675
CPU	 99	 0
IO	 0	 16.6166
IO	 2	 16.6166
IO	 4	 16.65
IO	 6	 16.7167
IO	 8	 16.7833
IO	 10	 16.85
IO	 12	 16.9
IO	 14	 16.9667
IO	 16	 17.0167
IO	 18	 17.0667
IO	 20	 17.0833
IO	 22	 17.15
IO	 24	 17.1833
IO	 26	 17.2
IO	 28	 17.25
IO	 30	 17.2833
IO	 32	 17.3
IO	 34	 17.3166
IO	 36	 17.3333
IO	 38	 17.35
IO	 40	 17.3667
IO	 42	 17.3833
IO	 44	 17.4
IO	 46	 17.4
IO	 48	 17.4167
IO	 50	 17.4334
IO	 52	 17.4167
IO	 54	 17.4
IO	 56	 17.4167
IO	 58	 17.4
IO	 60	 17.3833
IO	 62	 17.3667
IO	 64	 17.3666
IO	 66	 17.3333
IO	 68	 17.2667
IO	 70	 17.2666
IO	 72	 17.2667
IO	 74	 17.2167
IO	 76	 17.1833
IO	 78	 17.15
IO	 80	 17.1167
IO	 82	 17.0833
IO	 84	 17.0333
IO	 86	 16.9833
IO	 88	 16.9167
IO	 90	 16.8667
IO	 92	 16.7833
IO	 94	 16.7333
IO	 96	 16.6667
IO	 98	 16.5833
